Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
90.7,73644197,1,73644197.0,73644197.0,73644197,73644197,0.0,"matrix_mult(int *, int *, int *)"
9.3,7549135,2,3774567.5,3774567.5,3616299,3932836,223825.5,"compute_stencil(int *, int *)"
