Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.6,5598621,1,5598621.0,5598621.0,5598621,5598621,0.0,"void alpaka::detail::gpuKernel<MatrixMultKernel, alpaka::AccGpuUniformCudaHipRt<alpaka::ApiCudaRt, std::integral_constant<unsigned long, (unsigned long)2>, unsigned int>, int *, int *, int *, int>(alpaka::Vec<alpaka::trait::DimType<T2, void>::type, alpaka::trait::IdxType<T2, void>::type>, T1, T3...)"
4.4,257114,2,128557.0,128557.0,127709,129405,1199.3,"void alpaka::detail::gpuKernel<StencilKernel, alpaka::AccGpuUniformCudaHipRt<alpaka::ApiCudaRt, std::integral_constant<unsigned long, (unsigned long)2>, unsigned int>, int *, int *, int, int>(alpaka::Vec<alpaka::trait::DimType<T2, void>::type, alpaka::trait::IdxType<T2, void>::type>, T1, T3...)"
