Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
72.9,5467104,3,1822368.0,1868500.0,1676377,1922227,129254.3,[CUDA memcpy Device-to-Host]
27.1,2036337,3,678779.0,678417.0,677936,679984,1070.9,[CUDA memcpy Host-to-Device]
