Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
69.5,190288765,5,38057753.0,26491.0,21071,190187123,85042903.2,cudaMallocManaged
29.6,81042448,1,81042448.0,81042448.0,81042448,81042448,0.0,cudaDeviceSynchronize
0.7,2020268,5,404053.6,425948.0,296666,451418,61283.4,cudaFree
0.1,196373,3,65457.7,19930.0,5960,170483,91222.4,cudaLaunchKernel
0.0,96432,1,96432.0,96432.0,96432,96432,0.0,cuLibraryLoadData
0.0,1580,1,1580.0,1580.0,1580,1580,0.0,cuModuleGetLoadingMode
0.0,1440,3,480.0,240.0,90,1110,550.7,cuKernelGetName
0.0,450,2,225.0,225.0,190,260,49.5,cuLibraryGetKernel
