Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.9,225085322,5,45017064.4,41480.0,31451,224928179,100573370.7,cudaMallocManaged
26.3,81159884,1,81159884.0,81159884.0,81159884,81159884,0.0,cudaDeviceSynchronize
0.7,2302866,5,460573.2,506900.0,321436,538651,89382.4,cudaFree
0.1,253695,3,84565.0,33431.0,10120,210144,109377.4,cudaLaunchKernel
0.0,131092,1,131092.0,131092.0,131092,131092,0.0,cuLibraryLoadData
0.0,1530,3,510.0,380.0,180,970,410.7,cuKernelGetName
0.0,1220,2,610.0,610.0,290,930,452.5,cuLibraryGetKernel
0.0,981,1,981.0,981.0,981,981,0.0,cuModuleGetLoadingMode
