Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.8,7126488,1,7126488.0,7126488.0,7126488,7126488,0.0,"void alpaka::detail::gpuKernel<MatrixMultKernel, alpaka::AccGpuUniformCudaHipRt<alpaka::ApiCudaRt, std::integral_constant<unsigned long, (unsigned long)2>, unsigned int>, int *, int *, int *, int>(alpaka::Vec<alpaka::trait::DimType<T2, void>::type, alpaka::trait::IdxType<T2, void>::type>, T1, T3...)"
4.2,312281,2,156140.5,156140.5,156028,156253,159.1,"void alpaka::detail::gpuKernel<StencilKernel, alpaka::AccGpuUniformCudaHipRt<alpaka::ApiCudaRt, std::integral_constant<unsigned long, (unsigned long)2>, unsigned int>, int *, int *, int, int>(alpaka::Vec<alpaka::trait::DimType<T2, void>::type, alpaka::trait::IdxType<T2, void>::type>, T1, T3...)"
