Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
62.5,2868989,696,4122.1,3006.5,2078,33054,3198.8,[CUDA memcpy Unified Host-to-Device]
37.5,1717876,73,23532.5,2431.0,1535,145020,41189.6,[CUDA memcpy Unified Device-to-Host]
