Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.1,213147222,5,42629444.4,151273.0,141713,212550590,94988808.2,cudaMalloc
26.2,76466624,6,12744437.3,642258.0,367037,73543476,29786276.5,cudaMemcpy
0.5,1492480,5,298496.0,326086.0,240515,344607,52555.7,cudaFree
0.1,213134,3,71044.7,27141.0,7800,178193,93295.7,cudaLaunchKernel
0.0,120372,1,120372.0,120372.0,120372,120372,0.0,cuLibraryLoadData
0.0,1220,3,406.7,430.0,170,620,225.9,cuKernelGetName
0.0,880,1,880.0,880.0,880,880,0.0,cuModuleGetLoadingMode
0.0,810,2,405.0,405.0,370,440,49.5,cuLibraryGetKernel
