Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
92.3,74766270,1,74766270.0,74766270.0,74766270,74766270,0.0,"matrix_mult(int *, int *, int *)"
7.7,6280332,2,3140166.0,3140166.0,2798686,3481646,482925.6,"compute_stencil(int *, int *)"
