Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.2,191962106,5,38392421.2,136423.0,126413,191429196,85550158.2,cudaMalloc
32.2,91922772,6,15320462.0,1238458.0,618781,86252276,34754292.9,cudaMemcpy
0.5,1318704,5,263740.8,241854.0,223794,313376,44810.2,cudaFree
0.1,264775,3,88258.3,20340.0,5560,238875,130647.0,cudaLaunchKernel
0.0,103362,1,103362.0,103362.0,103362,103362,0.0,cuLibraryLoadData
0.0,970,3,323.3,210.0,90,670,306.2,cuKernelGetName
0.0,690,1,690.0,690.0,690,690,0.0,cuModuleGetLoadingMode
0.0,640,2,320.0,320.0,210,430,155.6,cuLibraryGetKernel
