Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.1,3932963,1,3932963.0,3932963.0,3932963,3932963,0.0,"matrix_mult(int *, int *, int *)"
8.9,382359,2,191179.5,191179.5,189052,193307,3008.7,"compute_stencil(int *, int *)"
